00003	ALDH2	NP_000681.2	Alcohol sensitivity, acute	16440063,6582480,4065146,2987944,7593603,8903321,10780266,15654505,10627091,16046871
00786	HBB	NP_000509.1	Hemoglobin Ocho Rios	5046622
00786	HBB	NP_000509.1	Hemoglobin Peterborough	5057941,9494045
00786	HBB	NP_000509.1	Hemoglobin Bethesda	5080413,4639015,949044
00786	HBB	NP_000509.1	Hemoglobin Louisville	5096522,5133275,2705488
00786	HBB	NP_000509.1	Hemoglobin Osu Christiansborg	5097135,10335988,15008267
00786	HBB	NP_000509.1	Hemoglobin Edmonton	5128293,8571935
00786	HBB	NP_000509.1	Hemoglobin Malmo	5128393,5011106,4342316,8571935
00786	HBB	NP_000509.1	Hemoglobin TA-lI	5129589
00786	HBB	NP_000509.1	Hemoglobin J (Kaohsiung)	5129589,5032420,1634358
00786	HBB	NP_000509.1	Hemoglobin Yoshizuka	5355345
00786	HBB	NP_000509.1	Hemoglobin Shepherds Bush	5415129,402764
00786	HBB	NP_000509.1	Hemoglobin G (Makassar)	5415584
00786	HBB	NP_000509.1	Hemoglobin Bristol	5420592,3997544,8704193
00786	HBB	NP_000509.1	Hemoglobin Seattle	5427455,7928380
00786	HBB	NP_000509.1	Hemoglobin beta variants, molecular defect unknown	5447151,14421678,13703277,13559175,14235356,14063031,5710064,13436881
00786	HBB	NP_000509.1	Hemoglobin I (High Wycombe)	5484693,3114176,3583766,10870888
00786	HBB	NP_000509.1	Hemoglobin Savannah	5545125
00786	HBB	NP_000509.1	Hemoglobin O (Arab)	5633723,6246994,5915974,5481775,14973
00786	HBB	NP_000509.1	Hemoglobin Hijiyama	5634912
00786	HBB	NP_000509.1	Hemoglobin Hofu	5634912,750554,7204097,3923770
00786	HBB	NP_000509.1	Hemoglobin N (Seattle)	5637049
00786	HBB	NP_000509.1	Hemoglobin Potomac	563749,3114176
00786	HBB	NP_000509.1	Hemoglobin G (Taiwan-Ami)	5642385
00786	HBB	NP_000509.1	Hemoglobin Kempsey	5651043
00786	HBB	NP_000509.1	Hemoglobin Yukuhashi	5684629
00786	HBB	NP_000509.1	Hemoglobin Ypsilanti	5687529
00786	HBB	NP_000509.1	Hemoglobin Wien	5691676,4212355
00786	HBB	NP_000509.1	Hemoglobin Leiden	5698750,6874375,7165693
00786	HBB	NP_000509.1	Hemoglobin Riverdale-Bronx	5705748
00786	HBB	NP_000509.1	Hemoglobin Sogn	5710451,2366586,8811316
00786	HBB	NP_000509.1	Hemoglobin Santa ana	5713642,3839771
00786	HBB	NP_000509.1	Hemoglobin Korle-Bu	5722880,6671904,7691242
00786	HBB	NP_000509.1	Hemoglobin Hiroshima	5773089,16062891
00786	HBB	NP_000509.1	Hemoglobin Sabine	5775133,6671906,9629500
00786	HBB	NP_000509.1	Hemoglobin Olmsted	5780360,8579053
00786	HBB	NP_000509.1	Hemoglobin Khartoum	5782115
00786	HBB	NP_000509.1	Hemoglobin Boras	5789325,3623976
00786	HBB	NP_000509.1	Hemoglobin J (Taichung)	5791015
00786	HBB	NP_000509.1	Hemoglobin G (Szuhu)	5791015,5416123,1150295,1176123,3841346,1802885
00786	HBB	NP_000509.1	Hemoglobin G (Taipei)	5791015,7338475,3623978
00786	HBB	NP_000509.1	Hemoglobin I (Toulouse)	5791730,5577462
00786	HBB	NP_000509.1	Hemoglobin Rainier	5796352,5347519,5026295,3839762,10335979
00786	HBB	NP_000509.1	Hemoglobin Philly	5822575,7216817
00786	HBB	NP_000509.1	Hemoglobin J (Rambam)	5856126,6048303,10870889
00786	HBB	NP_000509.1	Hemoglobin Tacoma	5869485,5785231,4525423,711920,3937827
00786	HBB	NP_000509.1	Hemoglobin N (Baltimore)	5886928,5961314,6034218,4086303,2703368,5773089
00786	HBB	NP_000509.1	Hemoglobin Sherwood Forest	590504,7918091
00786	HBB	NP_000509.1	Hemoglobin Freiburg	5919752,3391614
00786	HBB	NP_000509.1	Hemoglobin J (Bangkok)	5967288,6025242,5415584,7216820
00786	HBB	NP_000509.1	Hemoglobin Agenogi	5972415,2079434,12144066
00786	HBB	NP_000509.1	Hemoglobin J (Lome)	598514,2703367
00786	HBB	NP_000509.1	Hemoglobin New York	6030043,7353889,7353956,7437334
00786	HBB	NP_000509.1	Hemoglobin Gun Hill	6038175,5675976
00786	HBB	NP_000509.1	Hemoglobin Gavello	604315
00786	HBB	NP_000509.1	Hemoglobin G (Copenhagen)	6048303,7338474,3839773
00786	HBB	NP_000509.1	Hemoglobin Sydney	6050213,638069
00786	HBB	NP_000509.1	Hemoglobin Genova	6054966,4264206,111455,6998928,2105568
00786	HBB	NP_000509.1	Hemoglobin Yakima	6067323,6061752
00786	HBB	NP_000509.1	Hemoglobin Hammersmith	6082463,6259091,1911375,3260032
00786	HBB	NP_000509.1	Hemoglobin D (Bushman)	6082467
00786	HBB	NP_000509.1	Hemoglobin Machida	6129204
00786	HBB	NP_000509.1	Hemoglobin Vicksburg	6165992
00786	HBB	NP_000509.1	Hemoglobin Brisbane	6166590,6259091,6629830
00786	HBB	NP_000509.1	Hemoglobin Yatsushiro	620052
00786	HBB	NP_000509.1	Hemoglobin Ohio	6252122
00786	HBB	NP_000509.1	Hemoglobin Brockton	6252122,3207692,2599887,1487422
00786	HBB	NP_000509.1	Hemoglobin Cocody	6271242,4030382,2384310
00786	HBB	NP_000509.1	Hemoglobin J (Daloa)	6292136
00786	HBB	NP_000509.1	Hemoglobin Miyada	6324786
00786	HBB	NP_000509.1	Hemoglobin TY Gard	639985
00786	HBB	NP_000509.1	Hemoglobin City of Hope	6434492,2467892,1353069
00786	HBB	NP_000509.1	Hemoglobin British Columbia	6500987
00786	HBB	NP_000509.1	Hemoglobin Minneapolis-Laos	6547119
00786	HBB	NP_000509.1	Hemoglobin Warwickshire	6548451
00786	HBB	NP_000509.1	Hemoglobin Marseille	6548977,3455755,2599888
00786	HBB	NP_000509.1	Hemoglobin Jianghua	6618888
00786	HBB	NP_000509.1	Hemoglobin Quin-Hai	6629822
00786	HBB	NP_000509.1	Hemoglobin Bunbury	6629823
00786	HBB	NP_000509.1	Hemoglobin Maputo	6629824
00786	HBB	NP_000509.1	Hemoglobin Collingwood	6629830
00786	HBB	NP_000509.1	Hemoglobin Knossos	6668188,6469698,3114175,2467892,6733281
00786	HBB	NP_000509.1	Hemoglobin Saitama	6687721
00786	HBB	NP_000509.1	Hemoglobin Hirose	6687721
00786	HBB	NP_000509.1	Hemoglobin Okazaki	6745435
00786	HBB	NP_000509.1	Hemoglobin Vanderbilt	678476
00786	HBB	NP_000509.1	Hemoglobin Mckees Rocks	6841128
00786	HBB	NP_000509.1	Hemoglobin Okayama	6852251
00786	HBB	NP_000509.1	Hemoglobin Rio Grande	6857757
00786	HBB	NP_000509.1	Hemoglobin Cheverly	6877904
00786	HBB	NP_000509.1	Hemoglobin Beirut	6879181,3557996
00786	HBB	NP_000509.1	Hemoglobin Mizunami	6998928
00786	HBB	NP_000509.1	Hemoglobin Hoshida	701082,6998928,1814859
00786	HBB	NP_000509.1	Hemoglobin Detroit	708768
00786	HBB	NP_000509.1	Hemoglobin Presbyterian	708768,6309649,3101357,2307460,12127975
00786	HBB	NP_000509.1	Hemoglobin Mozhaisk	7096107
00786	HBB	NP_000509.1	Hemoglobin Barcelona	7097767
00786	HBB	NP_000509.1	Hemoglobin Palmerston North	7161106
00786	HBB	NP_000509.1	Hemoglobin Summer Hill	7190137,6629828
00786	HBB	NP_000509.1	Hemoglobin Hotel-Dieu	7204092
00786	HBB	NP_000509.1	Hemoglobin J (Altgeld Gardens)	721609
00786	HBB	NP_000509.1	Hemoglobin Bologna	7225407
00786	HBB	NP_000509.1	Hemoglobin St. Mande	7238856,2269272
00786	HBB	NP_000509.1	Hemoglobin J (Lens)	7319057
00786	HBB	NP_000509.1	Hemoglobin Yokohama	7338469,1814859
00786	HBB	NP_000509.1	Hemoglobin Miyashiro	7338469,6500989
00786	HBB	NP_000509.1	Hemoglobin Yusa	7338476,2384310
00786	HBB	NP_000509.1	Hemoglobin Takamatsu	7390862,2703369
00786	HBB	NP_000509.1	Hemoglobin Tampa	7397219
00786	HBB	NP_000509.1	Hemoglobin Pasadena	7397219,3348204
00786	HBB	NP_000509.1	Hemoglobin Pitie-Salpetriere	7417488
00786	HBB	NP_000509.1	Hemoglobin Toyoake	7470620,7236701
00786	HBB	NP_000509.1	Hemoglobin Shelby	747178,7390864,6526653,1244915,1148000,8226094
00786	HBB	NP_000509.1	Hemoglobin Hakkari	7558872
00786	HBB	NP_000509.1	Hemoglobin Yaizu	7615399
00786	HBB	NP_000509.1	Hemoglobin Hradec Kralove	7693620
00786	HBB	NP_000509.1	Hemoglobin Washtenaw	7852083
00786	HBB	NP_000509.1	Hemoglobin Tyne	7852088
00786	HBB	NP_000509.1	Hemoglobin Medicine Lake	7860732
00786	HBB	NP_000509.1	Hemoglobin Athens-Georgia	8114,20942
00786	HBB	NP_000509.1	Hemoglobin Denver	8133661
00786	HBB	NP_000509.1	Hemoglobin Howick	8144352
00786	HBB	NP_000509.1	Hemoglobin Villaverde	8241293
00786	HBB	NP_000509.1	Hemoglobin Helsinki	826083
00786	HBB	NP_000509.1	Hemoglobin Manukau	8280608
00786	HBB	NP_000509.1	Hemoglobin Coventry	8280608
00786	HBB	NP_000509.1	Hemoglobin Higashitochigi	8294206
00786	HBB	NP_000509.1	beta-thalassemia, Ashkenazi Jewish type	8318995,8990020
00786	HBB	NP_000509.1	Hemoglobin Karlskoga	8330972
00786	HBB	NP_000509.1	Hemoglobin Alesha	8330977
00786	HBB	NP_000509.1	Hemoglobin Tigraye	8330977,11570729
00786	HBB	NP_000509.1	Hemoglobin D (Neath)	8330979
00786	HBB	NP_000509.1	Hemoglobin Saint Nazaire	8342560
00786	HBB	NP_000509.1	Hemoglobin Muskegon	8454474
00786	HBB	NP_000509.1	Hemoglobin J (Guantanamo)	849451,2841847,3384711,2384311,8226098
00786	HBB	NP_000509.1	Hemoglobin Puttelange	8522332
00786	HBB	NP_000509.1	Hemoglobin Arta	8555060
00786	HBB	NP_000509.1	Hemoglobin Radcliffe	857849
00786	HBB	NP_000509.1	Hemoglobin Debrousse	8602627
00786	HBB	NP_000509.1	Hemoglobin Costa Rica	8641705,8854130,7382247
00786	HBB	NP_000509.1	beta-thalassemia, dominant, Spanish type	8703815
00786	HBB	NP_000509.1	Hemoglobin Aurora	8718692
00786	HBB	NP_000509.1	Hemoglobin Nakano	8718698
00786	HBB	NP_000509.1	Hemoglobin Hinwil	8745430
00786	HBB	NP_000509.1	Hb Aubenas	8811314
00786	HBB	NP_000509.1	Hemoglobin J (Europa)	8811317
00786	HBB	NP_000509.1	Hemoglobin Tsurumai	8811318
00786	HBB	NP_000509.1	Hb Camperdown	8811319
00786	HBB	NP_000509.1	Hemoglobin Yamagata	8811322
00786	HBB	NP_000509.1	Beta-zero-thalassemia	88735,10612821,6457059,1734721,6714226,1581247,3006832,3403716,2458145,2542242,6985481,7795641,6292840,6826539,9113933,12383672,12000828,9845707,6310991,2393712,8262525,6585831,3683554,3408672,1986379,2606727,2736244,3401599,2901867,2730955,2291578,2665856,4633042,2741940,8094943,9629504,2272840,6280057,7151176,2903765,1634368,1427786,8917506,9490703,2753736,3048433,6308558,6583683,2987809,2424301,2283297,3780671,2920213,1577489,1398296,1301952,7864023,7558878,9255617,9494053,9494052
00786	HBB	NP_000509.1	Hemoglobin North Shore	891976,3588028
00786	HBB	NP_000509.1	Hemoglobin Pyrgos	893127,1802885
00786	HBB	NP_000509.1	Hemoglobin Riyadh	893129,893141,511584
00786	HBB	NP_000509.1	Hemoglobin Vaasa	893132
00786	HBB	NP_000509.1	Hemoglobin Arlington Park	893139
00786	HBB	NP_000509.1	Hemoglobin Mizuho	893142,1726094,7558877
00786	HBB	NP_000509.1	Hemoglobin Alberta	903694,750556
00786	HBB	NP_000509.1	Hb Niigata	9101286
00786	HBB	NP_000509.1	Hemoglobin Djelfa	913596
00786	HBB	NP_000509.1	Hemoglobin Rothschild	913596,7068435,1567857
00786	HBB	NP_000509.1	Hemoglobin Alamo	914645,3623973
00786	HBB	NP_000509.1	Hb Gambara	9255613
00786	HBB	NP_000509.1	Hemoglobin Hacettepe	938658,3707969
00786	HBB	NP_000509.1	Hemoglobin Silver Springs	9494046
00786	HBB	NP_000509.1	Hemoglobin Tak	9494047,15768557
00786	HBB	NP_000509.1	Hemoglobin Volga	952960,7419425,3838977,3240605,2599883
00786	HBB	NP_000509.1	Hemoglobin Burton-upon-Trent	9559035,10870885,11186263
00786	HBB	NP_000509.1	Hemoglobin Hokusetsu	9730366
00786	HBB	NP_000509.1	Hemoglobin Tende	9859935
00786	HBB	NP_000509.1	Hemoglobin Caribbean	992050,3384706
00786	HBB	NP_000509.1	Hemoglobin Christchurch	5960324
00786	HBB	NP_000509.1	Hemoglobin Fukuoka	2232267
00786	HBB	NP_000509.1	Hemoglobin J (Amiens)	121938,2232267
00786	HBB	NP_000509.1	Hemoglobin Mequon	974262
00786	HBB	NP_000509.1	Hemoglobin N (Memphis)	5324987
00786	HBB	NP_000509.1	Hemoglobin Saverne	None
00786	HBB	NP_000509.1	Hemoglobin Calais	2268685
00786	HBB	NP_000509.1	Hemoglobin Dieppe	1420507
00786	HBB	NP_000509.1	Hemoglobin Trollhaettan	7914875
00786	HBB	NP_000509.1	Hemoglobin la Roche-Sur-Yon	1540659
00786	HBB	NP_000509.1	Hemoglobin Rockford	15470216
00786	HBB	NP_000509.1	Hemoglobin Jamaica Plain	15470216,15470211
00786	HBB	NP_000509.1	Hemoglobin Tizi-Puzou	15481887
00786	HBB	NP_000509.1	Hemoglobin Tripoli	15481887
00786	HBB	NP_000509.1	Hemoglobin Kochi	15768550
00786	HBB	NP_000509.1	Hemoglobin Zoeterwoude	15768551
00786	HBB	NP_000509.1	Hemoglobin Brem-Sur-Mer	15768558
00786	HBB	NP_000509.1	Hemoglobin Manhattan	1586746
00786	HBB	NP_000509.1	Hemoglobin Houston	1586746
00786	HBB	NP_000509.1	Hemoglobin Geldrop St. Anna	15921162
00786	HBB	NP_000509.1	beta-thalassemia intermedia, dominant	1634236,9427726
00786	HBB	NP_000509.1	Hemoglobin Rancho Mirage	1634360
00786	HBB	NP_000509.1	Hemoglobin J (Chicago)	163659,9494051
00786	HBB	NP_000509.1	Hemoglobin Chesterfield	1675132
00786	HBB	NP_000509.1	Hemoglobin Marineo	16798637
00786	HBB	NP_000509.1	Hemoglobin la Coruna	16840229
00786	HBB	NP_000509.1	Hemoglobin Valletta	1709134
00786	HBB	NP_000509.1	Hemoglobin J (Luhe)	1729892
00786	HBB	NP_000509.1	Hemoglobin Cleveland	1787096
00786	HBB	NP_000509.1	Hemoglobin Coimbra	1814856
00786	HBB	NP_000509.1	Hemoglobin Montreal	1814859
00786	HBB	NP_000509.1	Hemoglobin Quebec-Chori	1891024
00786	HBB	NP_000509.1	Hemoglobin Korea	1911355
00786	HBB	NP_000509.1	Hemoglobin Yahata	1917530
00786	HBB	NP_000509.1	Hemoglobin St. Francis	1917532
00786	HBB	NP_000509.1	Hemoglobin Redondo	1951318,1917530
00786	HBB	NP_000509.1	Hemoglobin K (Ibadan)	1983219
00786	HBB	NP_000509.1	Hemoglobin Grenoble	2079433
00786	HBB	NP_000509.1	Hemoglobin Austin	20942
00786	HBB	NP_000509.1	Hemoglobin Raleigh	20942
00786	HBB	NP_000509.1	Hemoglobin S (Travis)	20942
00786	HBB	NP_000509.1	Hemoglobin Jacksonville	2101840
00786	HBB	NP_000509.1	Hemoglobin Galicia	2158827
00786	HBB	NP_000509.1	Hemoglobin Birmingham	2158827
00786	HBB	NP_000509.1	Hemoglobin Tianshui	2265836
00786	HBB	NP_000509.1	Hemoglobin Aalborg	2272837
00786	HBB	NP_000509.1	Hemoglobin Johnstown	2272838,15658189
00786	HBB	NP_000509.1	Hemoglobin Zengcheng	2283296
00786	HBB	NP_000509.1	Hemoglobin Iowa	2283296,15008260
00786	HBB	NP_000509.1	beta-thalassemia	2283303,8682512
00786	HBB	NP_000509.1	Hemoglobin Syracuse	234980
00786	HBB	NP_000509.1	Hemoglobin South Milwaukee	2363414
00786	HBB	NP_000509.1	Hemoglobin Saki	237566,998617
00786	HBB	NP_000509.1	Hemoglobin Nevers	2384309
00786	HBB	NP_000509.1	Hemoglobin Matera	2384314
00786	HBB	NP_000509.1	Hemoglobin Dhonburi	2399911,1954392,15658193
00786	HBB	NP_000509.1	Hemoglobin Lufkin	24022,3384703,8537234
00786	HBB	NP_000509.1	Hemoglobin Cochin-Port Royal	240418,11939506
00786	HBB	NP_000509.1	Hemoglobin Mississippi	2434529
00786	HBB	NP_000509.1	Hemoglobin P (Nilotic)	2442092
00786	HBB	NP_000509.1	Hemoglobin Hinsdale	2513289
00786	HBB	NP_000509.1	Hemoglobin Windsor	2599880
00786	HBB	NP_000509.1	Hemoglobin Bruxelles	2599881
00786	HBB	NP_000509.1	beta-plus-thalassemia	2634667,1985702,6714226,6585831,2439149,2458145,2703241,3021139,6280057,2920213,3387213,6264477,6264391,1967205,6298782,6572978,2753736,2346726,2001456,7683931,10606872,6733281,1986379,3002527,2634674,3382401,1487424,2741940,6583683,3021607,6308558,4018033,1374896,3462712,3683554,1856830,1729892,1634236,15481893,15481896,15352994
00786	HBB	NP_000509.1	Hemoglobin N (Timone)	2634671
00786	HBB	NP_000509.1	Hemoglobin Chandigarh	2634672,15481898
00786	HBB	NP_000509.1	Hemoglobin Moriguchi	2634673
00786	HBB	NP_000509.1	Hemoglobin Masuda	2634673
00786	HBB	NP_000509.1	Hemoglobin G (Ferrara)	26414
00786	HBB	NP_000509.1	Hemoglobin Extremadura	2705488
00786	HBB	NP_000509.1	Hemoglobin Creteil	27132
00786	HBB	NP_000509.1	Hemoglobin Malay	2736244
00786	HBB	NP_000509.1	Hemoglobin Nikosia	2737920
00786	HBB	NP_000509.1	Hemoglobin Lincoln Park	274735
00786	HBB	NP_000509.1	Hemoglobin Kairouan	2753736,2915972
00786	HBB	NP_000509.1	Hemoglobin Villejuif	2816924,11300351
00786	HBB	NP_000509.1	Hemoglobin Showa-Yakushiji	2822177,3417300,15768552
00786	HBB	NP_000509.1	Hemoglobin S (Oman)	2930724,9834244,10203101
00786	HBB	NP_000509.1	Beta-thalassemia, dominant inclusion body type	3014870,2563949,2207008,1971109,4351905,4361439
00786	HBB	NP_000509.1	Hemoglobin E (Saskatoon)	3108201,2283299,8718699,11791874
00786	HBB	NP_000509.1	Hemoglobin Koriyama	3170234
00786	HBB	NP_000509.1	Hemoglobin Fukuyama	3170240
00786	HBB	NP_000509.1	Hemoglobin S (Providence)	3191036
00786	HBB	NP_000509.1	Hemoglobin Tilburg	3191145
00786	HBB	NP_000509.1	Hemoglobin J (Cordoba)	3384693
00786	HBB	NP_000509.1	Hemoglobin Tunis	3384695
00786	HBB	NP_000509.1	Hemoglobin Sunnybrook	3384706
00786	HBB	NP_000509.1	Hemoglobin Linkoping	3384706,3096913,3120455
00786	HBB	NP_000509.1	Hemoglobin Randwick	3384707
00786	HBB	NP_000509.1	Hemoglobin las Palmas	3384708
00786	HBB	NP_000509.1	Hemoglobin Pierre-Benite	3384709
00786	HBB	NP_000509.1	Hemoglobin Brest	3384710
00786	HBB	NP_000509.1	Hemoglobin Hafnia	3395624,10722118
00786	HBB	NP_000509.1	Hemoglobin Chico	3429244,1744099
00786	HBB	NP_000509.1	Hemoglobin D (Granada)	3446652
00786	HBB	NP_000509.1	Hemoglobin S (Antilles)	3467311,2189492,9166865
00786	HBB	NP_000509.1	Hemoglobin la Desirade	3557994
00786	HBB	NP_000509.1	Hemoglobin Crete	36184,15658190
00786	HBB	NP_000509.1	Hemoglobin Little Rock	3623972
00786	HBB	NP_000509.1	Hemoglobin Olomouc	3623975,1634364
00786	HBB	NP_000509.1	Hemoglobin Hamilton	3623977,6695908,1610915
00786	HBB	NP_000509.1	Hemoglobin J (Auckland)	3654265
00786	HBB	NP_000509.1	Hemoglobin Grange-Blanche	3666141
00786	HBB	NP_000509.1	Hemoglobin Shanghai	3676109
00786	HBB	NP_000509.1	Hemoglobin J (Antakya)	3707969
00786	HBB	NP_000509.1	Hemoglobin Atlanta-Coventry	3710819,1520632,1520631
00786	HBB	NP_000509.1	Hemoglobin Kofu	3744871
00786	HBB	NP_000509.1	Hemoglobin Bicetre	3753631
00786	HBB	NP_000509.1	Hemoglobin Himeji	3754244
00786	HBB	NP_000509.1	Hemoglobin Sendagi	3781864,2363414
00786	HBB	NP_000509.1	Hemoglobin Roseau-Pointe a Pitre	3838727
00786	HBB	NP_000509.1	Hemoglobin Kenitra	3838975
00786	HBB	NP_000509.1	Hemoglobin Nagoya	3838976
00786	HBB	NP_000509.1	Hemoglobin Bushwick	3838976,3446651
00786	HBB	NP_000509.1	Hemoglobin Regina	3839106,1853685
00786	HBB	NP_000509.1	Hemoglobin Gainesville-GA	3839773
00786	HBB	NP_000509.1	Hemoglobin Doha	3840039
00786	HBB	NP_000509.1	Hemoglobin New mexico	3840697
00786	HBB	NP_000509.1	Hemoglobin J (Cairo)	1001451
00786	HBB	NP_000509.1	Hemoglobin Strasbourg	1001451,342458,9494050
00786	HBB	NP_000509.1	Hemoglobin Henri Mondor	1001469,3583762
00786	HBB	NP_000509.1	Hemoglobin Barbizon	10081983
00786	HBB	NP_000509.1	Hemoglobin Vancouver	1018330
00786	HBB	NP_000509.1	Hemoglobin Chile	10335980
00786	HBB	NP_000509.1	Hemoglobin Nijkerk	10335981
00786	HBB	NP_000509.1	Hemoglobin Rio Claro	10335985
00786	HBB	NP_000509.1	Hemoglobin Iraq-Halabja	10398311
00786	HBB	NP_000509.1	Hemoglobin Lucknow	10490139
00786	HBB	NP_000509.1	Hemoglobin Sagami	10490140
00786	HBB	NP_000509.1	Hemoglobin Harrow	10490141
00786	HBB	NP_000509.1	Hemoglobin Brie Comte Robert	10490142
00786	HBB	NP_000509.1	Hemoglobin Willamette	1052170,6841127,6590550
00786	HBB	NP_000509.1	Hemoglobin Bologna-St. Orsola	10569724,10870885
00786	HBB	NP_000509.1	Hemoglobin Cranston	1059149,7441747
00786	HBB	NP_000509.1	Hemoglobin Vila Real	10722117,11939509
00786	HBB	NP_000509.1	Hemoglobin Saale	10770934
00786	HBB	NP_000509.1	Hemoglobin Tsukumi	10870882,11300344
00786	HBB	NP_000509.1	Hemoglobin Casablanca	10870883
00786	HBB	NP_000509.1	Hemoglobin Bushey	10870883
00786	HBB	NP_000509.1	Hemoglobin Burke	10883,3557997
00786	HBB	NP_000509.1	Hemoglobin Alabama	1115799
00786	HBB	NP_000509.1	Hemoglobin Osler	1117598,239863,1164510,7158624,9101280
00786	HBB	NP_000509.1	Hemoglobin Ernz	11186258
00786	HBB	NP_000509.1	Hemoglobin Renert	11186258,11570728
00786	HBB	NP_000509.1	Hemoglobin Watford	11186267
00786	HBB	NP_000509.1	Hemoglobin Hamadan	1122305,14635211
00786	HBB	NP_000509.1	Hemoglobin Sitia	11300349
00786	HBB	NP_000509.1	Hemoglobin Mont Saint-Aignan	11300350
00786	HBB	NP_000509.1	Hemoglobin Yaounde	11300355,15481891
00786	HBB	NP_000509.1	Hemoglobin Atlanta	1138885,6618886
00786	HBB	NP_000509.1	Hemoglobin Camperdown	1138922,2283301
00786	HBB	NP_000509.1	Hemoglobin D (Agri)	11570725
00786	HBB	NP_000509.1	Hemoglobin 't Lange Land	11570727
00786	HBB	NP_000509.1	Hemoglobin Wood	1164511
00786	HBB	NP_000509.1	Hemoglobin Antalya	11791869
00786	HBB	NP_000509.1	Hemoglobin Limassol	11791876
00786	HBB	NP_000509.1	Hemoglobin Mobile	1180880,3997539
00786	HBB	NP_000509.1	Thalassemia Intermedia	11809258
00786	HBB	NP_000509.1	Hemoglobin Providence	11828,14973,3935609
00786	HBB	NP_000509.1	Hemoglobin Fannin-Lubbock	11828,7852084
00786	HBB	NP_000509.1	Hemoglobin O (Tibesti)	11939508
00786	HBB	NP_000509.1	Hemoglobin Ilmenau	11939508
00786	HBB	NP_000509.1	Hemoglobin Canterbury	11939514,10777358
00786	HBB	NP_000509.1	Hemoglobin Molfetta	11939515
00786	HBB	NP_000509.1	Hemoglobin Aubagne	12144059
00786	HBB	NP_000509.1	Hemoglobin Kodaira II	12144067,12603092
00786	HBB	NP_000509.1	Hemoglobin Castilla	1225574,14649317
00786	HBB	NP_000509.1	Hemoglobin C (Ziguinchor)	1225575,893143
00786	HBB	NP_000509.1	Hemoglobin Newcastle	1227988
00786	HBB	NP_000509.1	Hemoglobin Rahere	124,3930571
00786	HBB	NP_000509.1	Hemoglobin York	1246355,6874372
00786	HBB	NP_000509.1	Hemoglobin Pocos de Caldas	12484633
00786	HBB	NP_000509.1	Hemoglobin Colima	12484635
00786	HBB	NP_000509.1	Hemoglobin Trento	12603089
00786	HBB	NP_000509.1	Hemoglobin Santander	12603091
00786	HBB	NP_000509.1	Hemoglobin Altdorf	1261680
00786	HBB	NP_000509.1	Hemoglobin Beth Israel	1272328
00786	HBB	NP_000509.1	Hemoglobin Tubingen	1278400,8226097
00786	HBB	NP_000509.1	beta-thalassemia intermedia	1301199,8111050,11300352
00786	HBB	NP_000509.1	Hemoglobin G (San Jose)	13403987,13714317,2599885,13852403,4214182,7353959,7338474
00786	HBB	NP_000509.1	Hemoglobin M (Saskatoon)	13509426,13634986,13897827,5856115,14452533,5851873,5996551,4413625,1163074,6248489,7663000
00786	HBB	NP_000509.1	Hemoglobin N, beta type	13523233,13559175,13703277
00786	HBB	NP_000509.1	Hemoglobin D (Punjab)	13590135,13872094,14160125,5672850,5782754,4991321,5050915,750553,4078867,3557993,2887538,3557998,2729278,2307460
00786	HBB	NP_000509.1	Hemoglobin M (Milwaukee 2)	13665153,5669922,933112,1398295,9494043
00786	HBB	NP_000509.1	Hemoglobin J (Iran)	13703277,6019668,2943700,2283300
00786	HBB	NP_000509.1	Hemoglobin E	13716853,5415584,7395858,6166632,6198908,6280057,6275383,3031297,1960615,8839873,12149194,15114532,15481886,16114182,11425418,9653159
00786	HBB	NP_000509.1	Hemoglobin Zurich	13726693,13895148,14314237,4749206,439565,7384813,6849326,6578506,6859031,7852089,9859934
00786	HBB	NP_000509.1	Hemoglobin P (Congo)	13816360,14197371,14413637,13703277
00786	HBB	NP_000509.1	Hemoglobin J (Baltimore)	13843994,13703277,14449876,14117783,5872025,6026391,5125343,511585
00786	HBB	NP_000509.1	Hemoglobin S	13852872,13369537,6268660,6285354,6272289,6304979,6280057,6583683,6584911,2579336,2891298,1376298,3752087,2893541,8199597,2898142,2898460,11741197,8462981,3821796,15395398,13464827,3354556,1986365,1301203,3690667,2296310,11880644,11830454,4232783,7993409,17287491
